1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Thinking about moving wrist,,,Thinking test 2,,
TIME,CH1,Tremor?,TIME,CH1,Tremor?,TIME,CH1,Tremor?,TIME,CH1,Tremor?,TIME,CH1,Tremor?,TIME,CH1,Tremor?,TIME,CH1,Tremor?
,,,290,16,1,290,21,100,290,157,0,290,108,100,,,,290,7,0
,,,291,25,1,291,23,100,291,77,0,291,95,100,,,,291,6,0
,,,292,23,1,292,13,100,292,36,100,292,99,100,,,,292,8,0
,,,293,31,1,293,11,100,293,27,100,293,88,100,,,,293,9,0
,,,294,25,1,294,9,100,294,16,100,294,70,100,,,,294,7,0
,,,295,32,0,295,12,100,295,20,100,295,58,100,,,,295,6,0
,,,296,24,0,296,15,100,296,31,100,296,31,100,,,,296,6,0
,,,297,11,0,297,15,100,297,29,100,297,14,100,,,,297,6,0
,,,298,15,0,298,10,100,298,35,100,298,8,100,,,,298,7,0
,,,299,12,0,299,12,100,299,42,100,299,6,100,,,,299,8,0
,,,300,30,0,300,11,100,300,35,100,300,12,100,,,,300,6,0
,,,301,99,0,301,12,100,301,16,100,301,48,100,,,,301,6,0
,,,302,179,0,302,12,100,302,11,100,302,71,100,,,,302,6,0
,,,303,256,0,303,15,100,303,9,100,303,101,0,,,,303,6,0
,,,304,354,0,304,11,100,304,15,100,304,65,100,,,,304,6,0
,,,305,305,0,305,17,100,305,21,100,305,20,100,,,,305,6,0
,,,306,161,0,306,17,100,306,29,100,306,14,100,,,,306,6,0
,,,307,61,0,307,16,100,307,33,100,307,21,100,,,,307,6,0
,,,308,28,0,308,13,100,308,35,100,308,25,100,,,,308,34,0
,,,309,35,0,309,15,100,309,36,100,309,22,100,,,,309,30,0
,,,310,93,0,310,15,100,310,25,100,310,27,100,,,,310,13,0
,,,311,136,0,311,13,100,311,27,100,311,56,100,,,,311,8,0
,,,312,95,0,312,15,100,312,20,100,312,116,0,,,,312,6,0
,,,313,34,0,313,11,100,313,29,100,313,87,0,,,,313,6,0
,,,314,13,0,314,11,100,314,24,100,314,49,100,,,,314,6,0
,,,315,8,0,315,15,100,315,23,100,315,21,100,,,,315,6,0
,,,316,9,0,316,19,100,316,18,100,316,19,100,,,,316,6,0
,,,317,12,0,317,14,100,317,12,100,317,13,100,,,,317,6,0
,,,318,24,0,318,11,100,318,21,100,318,12,100,,,,318,6,0
,,,319,27,0,319,13,100,319,37,100,319,8,100,,,,319,9,0
,,,320,40,0,320,12,100,320,86,100,320,6,100,,,,320,12,0
,,,321,66,0,321,24,100,321,101,100,321,15,100,,,,321,8,0
,,,322,72,0,322,24,100,322,84,100,322,23,100,,,,322,7,0
,,,323,73,0,323,71,100,323,55,100,323,24,100,,,,323,8,0
,,,324,77,0,324,59,100,324,25,100,324,51,100,,,,324,9,0
,,,325,82,0,325,54,100,325,17,100,325,54,100,,,,325,7,0
,,,326,69,0,326,52,100,326,22,100,326,63,100,,,,326,7,0
,,,327,71,0,327,57,100,327,53,100,327,70,100,,,,327,6,0
,,,328,36,0,328,77,100,328,60,100,328,41,100,,,,328,6,0
,,,329,27,0,329,78,100,329,43,100,329,19,100,,,,329,6,0
,,,,,,330,48,100,330,31,100,330,21,100,,,,330,7,0
,,,,,,331,49,100,331,23,100,331,11,100,,,,331,7,0
,,,,,,332,93,100,332,15,100,332,7,100,,,,332,6,0
,,,,,,333,86,100,333,10,100,333,7,100,,,,333,6,0
,,,,,,334,52,100,334,12,100,334,13,100,,,,334,7,0
